Company_Name,ticker,gvkey,naics,company_id
SYNAPTICS,SYNA,142814,334413,7331
SYNNEX,SNX,156155,423430,13446
SYNNEX,SNX,156155,423430,130700
SYNOPSYS,SNPS,24975,511210,8133
SYPRIS SOLUTIONS,SYPR,30220,336350,155396
SYSCO,SYY,10247,4244,151777
SYSTEMAX,SYX,60931,4239,32492
TATE & LYLE,TATYY,100135,311314,141472
TDK,TTDKY,10275,3344,1449
TDK,TTDKY,10275,3344,127060
TECH DATA,TECD,12171,423430,13569
TELEFLEX,TFX,10407,339112,5205
TELENAV,TNAV,184101,517919,31230
TELIGENT,TLGT,5888,325412,151825
TENNANT,TNC,10441,333318,141979
TENNECO,TEN,10443,336390,14139
TENNECTIVITY,TEL,177267,334417,1045
TERADYNE,TER,10453,334515,1380
TESLA,TSLA,184996,336111,42422
TEXAS INSTRUMENTS,TXN,10499,334413,1404
TEXTRON,TXT,10519,336411,12183
THERMO FISHER SCIENTIFIC,TMO,10530,334516,311
TIMKEN,TKR,10581,332991,3227
TOSHIBA,TOSYY,10622,335,1212
TOTAL,TOT,24625,324110,3898
TOWER,TOWR,184785,336211,127118
TOWER SEMICONDUCTOR,TSEM,31255,334413,1788
TRANSCAT,TRNS,10685,423830,151895
TREDEGAR,TG,15459,326113,133362
TREDEGAR,TG,15459,326113,133363
TRIMAS,TRS,15252,332119,133368
TRIMAS,TRS,15252,332119,145162
TRINSEO,TSE,187551,325211,26102
TRIUMPH GROUP,TGI,63876,336413,145166
TRONOX,TROX,164363,325130,36596
TTM TECHNOLOGIES,TTMI,139804,334412,2302
UFP TECHNOLOGIES,UFPT,29449,326140,806
UGI,UGI,10801,221210,155596
ULTRALIFE,ULBI,26045,335912,11434
UNIFIRST,UNF,10840,315,155604
UNION PACIFIC,UNP,10867,482111,142003
UNIQUE FABRICATING,UFAB,22180,336390,2271
UNITED PARCEL SERVICE,UPS,10920,492110,38217
UNITED STATES POSTAL SERVICE,9352B,61994,491110,46248
UNITED STATES STEEL,X,23978,331110,21278
UNITED TECHNOLOGIES,UTX,10983,336412,6832
UNIVAR,UNVR,21515,424690,476
UNIVERSAL ELECTRONICS,UEIC,27828,334310,4174
UTAH MEDICAL PRODUCTS,UTMD,11051,334510,3565
VALEO,VLEEY,102523,336390,1983
VALMONT INDUSTRIES,VMI,11094,332312,3881
VALVOLINE,VVV,27373,324191,24459
VARIAN MEDICAL SYSTEMS,VAR,11115,334510,8284
VECTRUS,VEC,20661,561210,155664
VEECO INSTRUMENTS,VECO,11124,333242,39218
VERICEL,VCEL,64334,325414,41528
VERINT SYSTEMS,VRNT,147242,541512,14873
VERISIGN,VRSN,66368,519130,39217
VERISK ANALYTICS,VRSK,180652,524298,151525
VERITIV,VRTV,19858,424110,1127
VERIZONMMUNICATIONS,VZ,2136,517312,267
VERSUM MATERIALS,VSM,26709,325199,7808
VIASAT,VSAT,64088,334220,145221
VIAVI SOLUTIONS,VIAV,29241,334210,271
VICOR,VICR,21238,334419,10875
VISHAYERTECHNOLOGY,VSH,11191,334416,127063
VISTEON,VC,136648,336320,1868
VMWARE,VMW,178083,541512,2164
VOXX,VOXX,13354,334310,1880
VSE,VSEC,11065,541330,155713
WASTE MANAGEMENT,WM,14477,562111,7513
WATERS,WAT,61574,334516,45617
WEBCO INDUSTRIES,WEBC,29692,331210,40095
WESCO AIRCRAFT,WAIR,187714,423860,43219
WEST PHARMACEUTICAL,WST,11376,326299,293
WESTLAKE CHEMICAL,WLK,160684,325199,556
WESTLAKE CHEMICAL,WLKP,20473,325199,556
WESTROCK,WRK,29830,322211,1163
WEYERHAEUSER,WY,11456,321,20773
WHIRLPOOL,WHR,11465,3352,19141
WI2WI,ISEYF,17217,334290,155765
WINDSTREAM,WINMQ,174490,517311,155780
WINPAK,WIPKF,20860,3222,7667
WIPRO,WIT,204867,541512,152747
WIRELESS TELECOM GROUP,WTT,24610,334220,155785
WOLTERS KLUWER,WTKWY,101361,541110,155789
WOLVERINE WORLD WIDE,WWW,11566,3162,32629
WOODWARD,WWD,11580,335314,29597
WORTHINGTON INDUSTRIES,WOR,11600,331221,141385
WPP,WPP,14605,541810,2261
XEROX,XRX,11636,333316,6810
XEROX,XRX,11636,333316,155804
XILINX,XLNX,22325,334413,7297
XYLEM,XYL,189491,333914,351
YRC WORLDWIDE,YRCW,11649,484122,9779
ZIX,ZIXI,16531,518210,127677
