Company_Name,ticker,gvkey,naics,company_id
CARDINAL HEALTH,CAH,2751,424210,342
CARPENTER TECHNOLOGY,CRS,2787,331110,5276
CASCADES,CADNF,14065,322130,15982
CATALENT,CTLT,20228,325412,78
CATERPILLAR,CAT,2817,333120,34694
CBRE GROUP,CBRE,260774,531,33187
CBRE GROUP,CBRE,260774,531,33187
CDW,CDW,28320,423430,6222
CELANESE,CE,162254,325199,740
CENTURYLINK,CTL,2884,517311,33182
CERNER,CERN,12850,541512,6252
CEVA,CEVA,135788,533110,22168
CF INDUSTRIES,CF,163946,325311,129697
CGI,GIB,21864,541512,149942
CHASE,CCF,3203,325520,19712
CHEMOURS,CC,22741,325130,6604
CHEVRON,CVX,2991,324110,988
CHICAGO RIVET & MACHINE,CVR,2999,332722,3849
CHS,9919B,134464,424510,149972
CHURCH & DWIGHT,CHD,3026,325611,2834
CIENA,CIEN,64356,334210,2091
CIGNA,CI,2547,524114,36989
CIGNA,CI,2547,524114,36989
CINTAS,CTAS,3062,812331,33167
CIRRUS LOGIC,CRUS,16401,334413,4269
CISION,CISN,32086,519130,153323
CIT GROUP,CIT,149738,522110,141621
CIT GROUP,CIT,149738,522110,141621
CITIGROUP,C,3243,522110,22310
CITIGROUP,C,3243,522110,22310
CITRIX SYSTEMS,CTXS,61676,511210,2397
CLEAN HARBORS,CLH,14027,562211,18844
CLEARWATER PAPER,CLW,181931,322291,4379
CLOUD PEAK ENERGY,CLDPQ,180635,212111,146115
COHERENT,COHR,3157,334516,6090
COLFAX,CFX,179577,333992,132301
COMMERCIAL VEHICLE GROUP,CVGI,160570,336390,37510
COMPASS DIVERSIFIED,CODI,166368,335,145902
COMPASS DIVERSIFIED,CODI,166368,335,145902
COMPUTER TASK GROUP,CTG,3342,541519,33152
COMPX,CIX,66602,332510,10515
CONDUENT,CNDT,28719,518210,153387
CONMED,CNMD,13623,334510,5242
CONOCOPHILLIPS,COP,8549,2111,9432
CONRAD INDUSTRIES,CNRD,111282,336611,132309
CONTINENTAL RESOURCES,CLR,3469,211120,37203
COOPER-STANDARD,CPS,163765,3363,11724
CORE MOLDING TECHNOLOGIES,CMT,14794,326199,38357
CORNING,GLW,3532,334419,608
CPS TECHNOLOGIES,CPSH,13582,327120,146419
CRANE,CR,3580,332912,10756
CREATIVE TECHNOLOGY,CREAF,25773,334118,19047
CREE,CREE,27794,334413,11957
CRH,CRH,15444,327310,136604
CROSSROADS SYSTEMS,CRSS,125276,334118,19046
