company_name,ticker,naics,gvkey
TRANSGLOBE ENERGY CORP,TGA,211120,14010
QUARTZ MOUNTAIN RESOURCES,QZMRF,21222,14018
CLEAN HARBORS INC,CLH,562211,14027
AMIRA NATURE FOODS LTD,ANFI,311212,14033
SMART EMPLOYEE BENEFITS INC,SMEYF,524292,14034
CANFOR CORP,CFPZF,321,14042
PACCAR FINANCIAL CORP,PCAR1,522220,14043
CCL INDUSTRIES  -CL B,CCDBF,3222,14062
CASCADES INC,CADNF,322130,14065
BOMBARDIER INC  -CL B,BDRBF,336411,14078
ALBANY INTL CORP  -CL A,AIN,313210,14084
AEP GENERATING CO,AEP10,2211,14088
FIRST TRUST DRSY WRT PPL PTL,DWPP,525910,14089
TRUE NORTH COML REALEST INV,TUERF,531120,14099
JONES FINANCIAL COS  -LP,4779B,523120,14107
CYBEROPTICS CORP,CYBE,333314,14108
FRANKLIN WIRELESS CORP,FKWL,334210,14112
MITEK SYSTEMS INC,MITK,333316,14113
ATRIUM MORTGAGE INVESTMENT,AMIVF,522220,14118
BANCO SANTANDER SA,SAN,522110,14140
BANCO SANTANDER SA,SAN,522110,14140
LG&E AND KU ENERGY LLC,PPL7,2211,14154
VANTAGE DRILLING INTL,VTGGF,213111,14155
MCCLATCHY CO  -CL A,MNI,511110,14163
FULTON FINANCIAL CORP,FULT,522110,14172
FULTON FINANCIAL CORP,FULT,522110,14172
GAINSCO INC,GANS,524126,14192
BANCORPSOUTH BANK,BXS,522110,14219
BANCORPSOUTH BANK,BXS,522110,14219
FASTENAL CO,FAST,423,14225
TAT TECHNOLOGIES LTD,TATT,488190,14229
WESTAMERICA BANCORPORATION,WABC,522110,14253
WESTAMERICA BANCORPORATION,WABC,522110,14253
MAXIM INTEGRATED PRODUCTS,MXIM,334413,14256
HERBALIFE NUTRITION LTD,HLF,424210,14269
FIRST REPUBLIC BANK,FRC,522110,14275
FIRST REPUBLIC BANK,FRC,522110,14275
AMPHENOL CORP,APH,334417,14282
AKORN INC,AKRX,325412,14304
INTER PARFUMS INC,IPAR,325620,14309
POLARIS INC,PII,336999,14311
EMPIRE CO LTD  -CL A,EMLAF,445110,14312
NORBORD INC,OSB,321219,14313
INTERCEPT PHARMA INC,ICPT,325414,14320
ONEX CORP,ONEXF,523999,14326
ONEX CORP,ONEXF,523999,14326
WEST FRASER TIMBER CO,WFTBF,321113,14330
IGM FINANCIAL INC,IGIFF,523930,14333
IGM FINANCIAL INC,IGIFF,523930,14333
SNC-LAVALIN GROUP INC,SNCAF,541330,14352
SHAW COMMUNICATIONS INC-CL B,SJR,515210,14353
PIONEER NATURAL RESOURCES CO,PXD,2111,14359
US CELLULAR CORP,USM,517312,14369
MANPOWERGROUP,MAN,561320,14370
FORTIS INC,FTS,2211,14390
TRANSALTA CORP,TAC,22111,14391
WILMINGTON CAP MGMT  -CL A,WCM.A,5311,14394
INVESTORS TITLE CO,ITIC,524127,14401
INVESTORS TITLE CO,ITIC,524127,14401
DYNEX CAPITAL INC,DX,525990,14403
DYNEX CAPITAL INC,DX,525990,14403
SOTHEBY'S,BID,561990,14412
MGM RESORTS INTERNATIONAL,MGM,721120,14418
CANADIAN UTILITIES  -CL A,CDUAF,221210,14433
ISHARES MSCI FRONTIER 100,FM,525910,14435
ATLANTIC CITY ELECTRIC CO,ATE1,2211,14437
LVMH MOET HENNESSY LOUIS V,LVMUY,3152,14447
QUANTRX BIOMEDICAL CP,QTXB,339112,14451
WASTE MANAGEMENT INC,WM,562111,14477
DELL TECHNOLOGIES INC,DELL,334111,14489
NUZEE INC,NUZE,311920,14501
ADVISORSHARES STAR GLB BYWRT,VEGA,525910,14507
TMX GROUP LTD,TMXXF,523,14517
TMX GROUP LTD,TMXXF,523,14517
EW SCRIPPS  -CL A,SSP,515120,14535
TEVA PHARMACEUTICALS,TEVA,325412,14538
SILVERCREST ASSET MGT,SAMG,523930,14551
II-VI INC,IIVI,333314,14561
MERCER INTL INC,MERC,322110,14563
CORAL GOLD RESOURCES LTD,CLHRF,212221,14567
WISCONSIN POWER & LIGHT,LNT1,2211,14580
FREEPORT-MCMORAN INC,FCX,212230,14590
ALLIANCEBERNSTEIN HOLDING LP,AB,523999,14592
AVID BIOSERVICES INC,CDMO,325413,14603
WPP PLC,WPP,541810,14605
ELECTROLUX AB,ELUXY,3352,14620
OFFICE DEPOT INC,ODP,453210,14624
NEW ENGLAND REALTY ASSC  -LP,NEN,531110,14639
BANCROFT FUND LTD,BCV,525990,14659
CENTRAL SECURITIES CORP,CET,525990,14661
ELLSWORTH GRWTH INCM FD LTD,ECF,525990,14666
ABERDEEN ASIA PACIFIC INCOME,FAX,525990,14667
ABERDEEN AUSTRALIA EQTY FD,IAF,525990,14672
TEMPLETON EMERGING MKTS FUND,EMF,525990,14681
ASIA PACIFIC FUND,APB,525990,14686
CORNERSTONE STRAT VALUE FD,CLM,525990,14691
MFS HIGH YIELD MUNICIPAL TR,CMU,525990,14692
TAIWAN FUND INC,TWN,525990,14694
INSIGHT SELECT INCOME FD,INSI,525990,14698
DNP SELECT INCOME FUND INC,DNP,525990,14700
CORNERSTONE TOTAL RETURN FD,CRF,525990,14701
CREDIT SUISSE ASST INCOME FD,CIK,525990,14703
GABELLI EQUITY TRUST,GAB,525990,14708
EUROPEAN EQUITY FUND INC,EEA,525990,14710
LIBERTY ALL-STAR GROWTH FUND,ASG,525990,14714
JOHN HANCOCK INVESTORS TRUST,JHI,525990,14715
TEKLA HEALTHCARE INVESTORS,HQH,525990,14716
SWISS HELVETIA FUND,SWZ,525990,14718
KOREA FUND,KF,525990,14728
LIBERTY ALL-STAR EQUITY,USA,525990,14729
MFS GVT MKTS INCOME TR,MGF,525990,14733
MFS INTERM INCOME SBI,MIN,525990,14734
MFS MULTIMARKET INCOME TR,MMT,525990,14735
MFS MUNICIPAL INC TR,MFM,525990,14737
BARINGS CORPORATE INVESTORS,MCI,525990,14739
MEXICO FUND INC,MXF,525990,14740
NEW AMERICA HI INCOME FUND,HYB,525990,14743
NUVEEN MUNICIPAL INCOME FUND,NMI,525990,14747
NUVEEN MUNI VALUE FUND INC,NUV,525990,14748
NUVEEN N Y MUNI VALUE FUND,NNY,525990,14749
WESTERN ASST INV GRD INCM FD,PAI,525990,14752
ADAMS NATURAL RESOURCES FUND,PEO,525990,14753
HIGH INCOME SECURITIES FUND,PCF,525990,14757
PUTNAM MASTER INTERM INCOME,PIM,525990,14760
ROYCE VALUE TRUST,RVT,525990,14763
TCW STRATEGIC INCOME FUND,TSI,525990,14769
TEMPLETON GLOBAL INCOME FUND,GIM,525990,14770
BNY MELLON STRATEGIC MUNS IN,LEO,525990,14779
MERITAGE HOMES CORP,MTH,236117,14790
ARCH COAL INC,ARCH,21211,14793
CORE MOLDING TECHNOLOGIES,CMT,326199,14794
NATIONAL AUSTRALIA BK,NABZY,522110,14802
NATIONAL AUSTRALIA BK,NABZY,522110,14802
PUTNAM PREMIER INCOME TR,PPT,525990,14804
BERKLEY (W R) CORP,WRB,524126,14822
BERKLEY (W R) CORP,WRB,524126,14822
CINCINNATI FINANCIAL CORP,CINF,524126,14824
CINCINNATI FINANCIAL CORP,CINF,524126,14824
OLD REPUBLIC INTL CORP,ORI,524126,14828
OLD REPUBLIC INTL CORP,ORI,524126,14828
BLACKSTONE/GSO STRATEGIC CRD,BGB,525990,14846
CUSHING RENAISSANCE FUND,SZC,525990,14847
LGBTQ LOYALTY HOLDINGS INC,LFAP,339920,14865
FLEXSHARES MS DEV EX USF FD,TLTD,525910,14869
FLEXSHARES MS EM FAC TILT FD,TLTE,525910,14879
MGP INGREDIENTS INC,MGPI,312140,14891
VODAFONE GROUP PLC,VOD,517312,14894
3D SYSTEMS CORP,DDD,333249,14898
SOUTHERN CALIFORNIA EDISON,EIX1,221111,14912
AURA SYSTEMS INC,AUSI,335312,14913
NAM TAI PROPERTY INC,NTP,531120,14924
DEVON ENERGY CORP,DVN,2111,14934
LINDSAY CORP,LNN,333111,14954
AFTERMASTER INC,AFTM,334310,14957
LABORATORY CP OF AMER HLDGS,LH,621511,14960
VIRGINIA ENERGY RESOURCES,VEGYF,212291,14966
BNY MELLON MUNICIPAL INCOME,DMF,525990,14969
BLACKROCK MUNIVEST FUND INC,MVF,525990,14971
CHAMPIONS ONCOLOGY INC,CSBR,325414,14983
VASO CORP,VASO,423450,14985
BOULDER GROWTH & INC FUND,BIF,525990,14995
ACE AVIATION HOLDINGS INC,ACAVF,999990,14999
ANDREW PELLER LTD,ADWPF,312130,15000
PHOENIX CANADA OIL CO LTD,PHXCF,523910,15016
TOROMONT INDUSTRIES LTD,TMTNF,423810,15020
CANADIAN GENERAL INVESTMENTS,CGRIF,525990,15022
UNITED CORPORATIONS LTD,UCPLF,523999,15024
TOR MINERALS INTL INC,TORM,325130,15027
CONSOL HCI HOLDINGS  -CL B,CXA.,237210,15030
GOLDCORP INC,GG,212221,15037
INTERFOR CORP,IFSPF,321113,15038
PARKLAND FUEL CORP,PKIUF,424720,15042
WORKDAY INC,WDAY,519130,15044
HEROUX-DEVTEK INC,HERXF,336413,15050
CANADIAN NATURAL RESOURCES,CNQ,2111,15055
MELCOR DEVELOPMENT LTD,MODVF,237210,15059
CALLON PETROLEUM CO/DE,CPE,2111,15060
SUNCOR ENERGY INC,SU,324110,15070
SENVEST CAPITAL INC,SVCTF,523999,15082
TRANSCONTINENTAL INC -CL A,TCLAF,32311,15083
LIFEWAY FOODS INC,LWAY,311511,15087
CEC ENTERTAINMENT INC,9614B,722511,15092
WALL FINANCIAL CORP,WFICF,237210,15096
BECKER MILK CO LTD  -CL B,BCKMF,531210,15098
MFA FINANCIAL INC,MFA,525990,15101
MFA FINANCIAL INC,MFA,525990,15101
RPT REALTY,RPT,531120,15111
RPT REALTY,RPT,531120,15111
LKA GOLD INC,LKAI,21222,15129
TOYOTA MOTOR CREDIT CORP,5672A,522291,15136
ISTAR INC,STAR,531190,15142
ISTAR INC,STAR,531190,15142
BLACKROCK INCOME TRUST INC,BKT,525990,15143
IQ HEDGE MKT NEUTRAL TRK ETF,QMN,525910,15146
MADISON COUNTY FINANCIAL INC,MCBK,522110,15149
MADISON COUNTY FINANCIAL INC,MCBK,522110,15149
FEDERAL AGRICULTURE MTG CP,AGM,522298,15153
FEDERAL AGRICULTURE MTG CP,AGM,522298,15153
OGLETHORPE POWER CORP,5685B,22111,15171
FIAT CHRYSLER AUTOMOBILES NV,FCAU,336111,15172
VITRO DIAGNOSTICS INC,VODG,325414,15178
BBVA,BBVA,522110,15181
BBVA,BBVA,522110,15181
CHEMICAL FINANCIAL CORP,CHFC,522110,15197
CHEMICAL FINANCIAL CORP,CHFC,522110,15197
1ST SOURCE CORP,SRCE,522110,15199
1ST SOURCE CORP,SRCE,522110,15199
FIRST COBALT CORP,FTSSF,212221,15201
FEDERAL HOME LOAN MORTG CORP,FMCC,522298,15208
FEDERAL HOME LOAN MORTG CORP,FMCC,522298,15208
VIRTUS GLOBAL DIV & INCM FD,ZTR,525990,15210
DREAM INDUSTRIAL REIT,DREUF,5311,15211
CROSSAMERICA PARTNERS LP,CAPL,424720,15212
DWS MUNICIPAL INCOME TRUST,KTF,525990,15226
WESTWATER RESOURCES INC,WWR,212291,15240
VALERO ENERGY CORP,VLO,324110,15247
TRIMAS CORP,TRS,332119,15252
IDEX CORP,IEX,333914,15267
MICHIGAN CONSOLIDATED GAS CO,MCN1,221210,15305
REPSOL SA,REPYY,324110,15319
BONSO ELECTRONICS INTL INC,BNSO,333997,15327
AKZO NOBEL NV,AKZOY,325510,15334
EMMIS COMMUNICATIONS CP-CL A,EMMS,515112,15337
MUELLER INDUSTRIES,MLI,331420,15343
BP PRUDHOE BAY ROYALTY TRUST,BPT,533110,15350
WESTPAC BANKING,WBK,522110,15362
WESTPAC BANKING,WBK,522110,15362
TCF FINANCIAL CORP,TCF,522110,15363
TCF FINANCIAL CORP,TCF,522110,15363
ARGO GROUP INTL HOLDINGS LTD,ARGO,524126,15364
ARGO GROUP INTL HOLDINGS LTD,ARGO,524126,15364
INVESCO MUNICIPAL INCOME OPP,OIA,525990,15367
MFS HIGH INCOME MUNI TRUST,CXE,525990,15372
MFS INTERMEDIATE HIGH INCOME,CIF,525990,15373
MFS INVESTMENT GRADE MUNI TR,CXH,525990,15374
FRANKLIN UNIVERSAL TRUST,FT,525990,15377
DWS STRATEGIC MUN INCM TRUST,KSM,525990,15381
BARINGS PARTICIPATON INVSTRS,MPV,525990,15384
WESTERN ASST MUNI HI INCM FD,MHF,525990,15385
BLACKROCK MUNIENHANCED FUND,MEN,525990,15386
PUTNAM MANAGED MUNI INCOME,PMM,525990,15391
NUVEEN MULTI-MKT INCM FD,JMM,525990,15392
SUNCOKE ENERGY PARTNERS LP,SXCP,324199,15396
INVESCO HIGH INCOME TRUST II,VLT,525990,15398
PARTNERS VALUE INVMNTS LP,PVVLF,523999,15399
PARTNERS VALUE INVMNTS LP,PVVLF,523999,15399
BIO-TECHNE CORP,TECH,325414,15414
BROWN & BROWN INC,BRO,524210,15417
AMBARELLA INC,AMBA,334413,15420
RBC TARGET 2021 CORP BD IDX,RQI.,525910,15421
FLEXSHARES READY ACCESS VAR,RAVI,525910,15422
CRH PLC,CRH,327310,15444
DUKE ENERGY INDIANA INC,CIN3,221111,15448
37 CAPITAL INC,HHHEF,212,15453
TREDEGAR CORP,TG,326113,15459
URBANIMMERSIVE INC,UBMRF,519130,15481
HORIZONS ACTIVE EMRG MKT DIV,HAJ.,525910,15486
HORIZONS ACTIVE CDN BOND ETF,HAD.,525910,15488
HUMANIGEN INC,HGEN,325414,15489
ANGLO AMERICAN PLC,NGLOY,212,15508
HSBC HLDGS PLC,HSBC,522110,15509
HSBC HLDGS PLC,HSBC,522110,15509
SIGNET JEWELERS LTD,SIG,448310,15520
BNP PARIBAS,BNPQY,522110,15532
BNP PARIBAS,BNPQY,522110,15532
PARATEK PHARMACEUTCLS INC,PRTK,325412,15539
SRAX INC,SRAX,541810,15543
AVIVA PLC,AVVIY,524113,15545
DANSKE BANK AS,DNKEY,522110,15552
DANSKE BANK AS,DNKEY,522110,15552
DEUTSCHE BANK AG,DB,522110,15576
DEUTSCHE BANK AG,DB,522110,15576
BANK OF MONTREAL,BMO,522110,15580
BANK OF MONTREAL,BMO,522110,15580
CANADIAN IMPERIAL BANK,CM,522110,15581
CANADIAN IMPERIAL BANK,CM,522110,15581
BANK OF NOVA SCOTIA,BNS,522110,15582
BANK OF NOVA SCOTIA,BNS,522110,15582
AEGON NV,AEG,524113,15598
POWER FINANCIAL CORP,POFNF,524113,15607
POWER FINANCIAL CORP,POFNF,524113,15607
NOMURA HOLDINGS INC,NMR,523110,15613
ING GROEP NV,ING,522110,15617
NATIONAL BANK CANADA,NTIOF,522110,15620
NATIONAL BANK CANADA,NTIOF,522110,15620
ROYAL BANK OF CANADA,RY,522110,15633
ROYAL BANK OF CANADA,RY,522110,15633
ROYAL BANK OF SCOTLAND GROUP,RBS,522110,15634
ROYAL BANK OF SCOTLAND GROUP,RBS,522110,15634
TOKIO MARINE HOLDINGS INC,TKOMY,524126,15659
ORIX CORP,IX,522220,15668
UNITED OVERSEAS BANK LTD,UOVEY,522110,15679
UNITED OVERSEAS BANK LTD,UOVEY,522110,15679
THOMSON-REUTERS CORP,TRI,519130,15704
TORONTO DOMINION BANK,TD,522110,15706
TORONTO DOMINION BANK,TD,522110,15706
HER IMPORTS,HHER,519130,15715
ALLIANZ SE,AZSEY,524126,15724
DBS GROUP HOLDINGS LTD,DBSDY,522110,15743
DBS GROUP HOLDINGS LTD,DBSDY,522110,15743
PRUDENTIAL PLC,PUK,524113,15782
SOCIETE GENERALE GROUP,SCGLY,522110,15784
SOCIETE GENERALE GROUP,SCGLY,522110,15784
NOVELION THERAPEUTICS INC,NVLN,325412,15803
HERITAGE GLOBAL INC,HGBL,523999,15824
SYMANTEC CORP,SYMC,511210,15855
ANZ-AUSTRALIA & NEW ZEALD BK,ANZBY,522110,15889
ANZ-AUSTRALIA & NEW ZEALD BK,ANZBY,522110,15889
LLOYDS BANKING GROUP PLC,LYG,522110,15929
LLOYDS BANKING GROUP PLC,LYG,522110,15929
PETROTEQ ENERGY INC,PQEFF,2111,16004
IVANHOE MINES LTD,IVPAF,212,16005
MASON GRAPHITE INC,MGPHF,212399,16006
SPORTSMANS WAREHOUSE HLDGS,SPWH,451110,16009
YY INC  -ADR,YY,519130,16011
INVESCO S&P 500 HI DIV LO VL,SPHD,525910,16012
QUEST RESOURCE HOLDING CORP,QRHC,562,16015
PICTON MAHONEY TACTICAL INC,PMB.UN,525990,16018
SEADRILL PARTNERS LLC,SDLPF,213111,16026
TOSCANA ENERGY INCOME CORP,TSCEF,2111,16029
WOLFDEN RESOURCES CORP,WLFFF,212221,16041
ALLIANCEBERNSTEIN LP,8622B,523,16051
SCORE MEDIA AND GAMING INC,TSCRF,512110,16058
MONROE CAPITAL CORP,MRCC,523910,16066
BARINGS GLBL SH DUR HI YLD F,BGH,525990,16068
INVESTVIEW INC,INVU,519130,16069
STONE HARBOR EMERG MKTS TOTL,EDI,525990,16093
ABBVIE INC,ABBV,325414,16101
SPROTT PHYSICAL PLAT & PALLA,SPPP,525910,16103
ARTISAN PARTNERS ASSET MGMT,APAM,523920,16113
CYRUSONE INC,CONE,531120,16116
GOLDENEYE RESOURCES CORP,GOE.,212221,16123
GLOBAL MEDICAL REIT,GMRE,531120,16125
MOBETIZE CORP,MPAY,511210,16143
OFS CAPITAL CORP,OFS,523910,16149
STELLUS CAPITAL INVESTMENT,SCM,523999,16150
VANGUARD CANADIAN S-T CP ETF,VSC.,525910,16153
VANGUARD FTSE CDN REIT ETF,VNFTF,525910,16154
VANGUARD FTSE CDN DV YLD ETF,VDY.,525910,16155
VANGUARD S&P500 INDX ETF CAD,VSP.,525910,16156
VANGUARD S&P 500 INDEX ETF,VFV.,525910,16164
EKSPORTFINANS ASA,6120B,522293,16187
COGNEX CORP,CGNX,334513,16188
WESTERN MIDSTRM PRTNRS LP,WES,486210,16225
PEOPLE'S UNITED FINL INC,PBCT,522110,16245
PEOPLE'S UNITED FINL INC,PBCT,522110,16245
ENANTA PHARMACEUTICALS INC,ENTA,325414,16269
ABSA GROUP LTD,AGRPY,522110,16305
ABSA GROUP LTD,AGRPY,522110,16305
CRIUS ENERGY TRUST,CRIUF,2211,16306
INTESA SANPAOLO SPA,ISNPY,522110,16348
INTESA SANPAOLO SPA,ISNPY,522110,16348
VOYA FINANCIAL INC,VOYA,524113,16384
CIRRUS LOGIC INC,CRUS,334413,16401
E-L FINANCIAL CORP LTD,ELFIF,524126,16426
E-L FINANCIAL CORP LTD,ELFIF,524126,16426
FAIRFAX FINANCIAL HOLDINGS,FRFHF,524126,16428
FAIRFAX FINANCIAL HOLDINGS,FRFHF,524126,16428
GREAT-WEST LIFECO INC,GWLIF,524113,16431
GREAT-WEST LIFECO INC,GWLIF,524113,16431
LAURENTIAN BANK OF CANADA,LRCDF,522110,16432
LAURENTIAN BANK OF CANADA,LRCDF,522110,16432
NEOGEN CORP,NEOG,325412,16453
HANGER INC,HNGR,621498,16456
KERR MINES INC,KERMF,212221,16466
LEVI STRAUSS & CO,LEVI,315220,16476
LEAR CORP,LEA,336360,16477
EOG RESOURCES INC,EOG,2111,16478
RESPIRERX PHARMACEUTICALS,RSPI,325414,16480
NUVEEN CAL MUNI VAL FD,NCA,525990,16484
BOISE CASCADE CO,BCC,423310,16486
MIDDLEFIELD CAN-GLOBAL REIT,RCO.UN,525990,16500
BMO S&P 500 INDEX ETF,ZSP.,,16508
BMO EQL WT GLBL GOLD IND ETF,ZGD.,,16509
BMO EQUAL WEIGHT INDUSTRIALS,ZIN.,,16510
BMO LADDERED PFD SHR IDX ETF,ZPR.,,16511
TORC OIL & GAS LTD,VREYF,2111,16521
AMERITEK VENTURES,ATVK,335921,16524
NEXUS REIT,EFRTF,5311,16528
ARES DYNAMIC CREDIT ALLOC FD,ARDC,525990,16530
ZIX CORP,ZIXI,518210,16531
FIRST TR MLP & ENRGY INCM FD,FEI,525990,16533
PARALLAX HEALTH SCIENCES INC,PRLX,519130,16535
ETFMG PRIME JUNIOR SILVR ETF,SILJ,525910,16540
SERVISFIRST BANCSHARES INC,SFBS,522110,16549
SERVISFIRST BANCSHARES INC,SFBS,522110,16549
ALUMINA LTD,AWCMY,523999,16560
WALL STREET MEDIA CO,WSCO,541611,16564
ABERDEEN EMRG MKT EQT INM FD,AEF,525990,16571
MFS CHARTER INCOME TR,MCR,525990,16579
NUTRIEN LTD,NTR,325311,16582
POWER ASSETS HOLDINGS LTD,HGKGY,2211,16590
LATTICE SEMICONDUCTOR CORP,LSCC,334413,16597
NESTLE SA/AG,3NSRGY,311,16603
INVESCO S&P 500 DWNSD HG ETF,PHDG,525910,16607
WHITEHORSE FINANCE INC,WHF,523910,16608
SOPERIOR FERTILIZER CORP,POTRF,212391,16611
AMERICA FIRST MULTIFAMILY-LP,ATAX,523999,16641
ADVANCED DISPOSAL SERVICES,ADSW,562111,16648
TAYLOR MORRISON HOME CORP,TMHC,236117,16653
NUVEEN INTER DURATION MUNI,NID,525990,16654
ARROW FINANCIAL CORP,AROW,522110,16668
ARROW FINANCIAL CORP,AROW,522110,16668
ATLANTIC AMERICAN CORP,AAME,524114,16671
NORTHEAST BANK,NBN,522110,16689
NORTHEAST BANK,NBN,522110,16689
BRYN MAWR BANK CORP,BMTC,522110,16698
BRYN MAWR BANK CORP,BMTC,522110,16698
FRONT YARD RESIDENTIAL CORP,RESI,531110,16700
ATW TECH INC,ATW.,5416,16702
CENTRAL PACIFIC FINANCIAL CP,CPF,522110,16705
CENTRAL PACIFIC FINANCIAL CP,CPF,522110,16705
PROSHARES MERGER ETF,MRGR,525910,16709
DIGI INTERNATIONAL INC,DGII,334210,16710
DONEGAL GROUP INC,DGICA,524126,16714
DONEGAL GROUP INC,DGICA,524126,16714
EMC INSURANCE GROUP INC,EMCI,524126,16716
EMC INSURANCE GROUP INC,EMCI,524126,16716
BIOSTAGE INC,BSTG,325414,16719
ALTISOURCE ASSET MGMT CORP,AAMC,531311,16720
ALTISOURCE ASSET MGMT CORP,AAMC,531311,16720
ELECTRONIC ARTS INC,EA,511210,16721
KP TISSUE INC,KPTSF,322121,16725
HOUGHTON MIFFLIN HARCOURT CO,HMHC,511130,16738
PROTHENA CORP PLC,PRTA,325414,16745
CENTURY BANCORP INC/MA,CNBKA,522110,16748
CENTURY BANCORP INC/MA,CNBKA,522110,16748
CITIZENS INC,CIA,524113,16775
CITIZENS INC,CIA,524113,16775
FIRST BANCORP/NC,FBNC,522110,16777
FIRST BANCORP/NC,FBNC,522110,16777
CITY HOLDING CO,CHCO,522110,16781
CITY HOLDING CO,CHCO,522110,16781
COMMUNITY BANK SYSTEM INC,CBU,522110,16790
COMMUNITY BANK SYSTEM INC,CBU,522110,16790
PRUDENTIAL GLBL SH DUR HI YL,GHY,525990,16798
FLEXSHARES QUAL DIV INDEX FD,QDF,525910,16814
FLEXSHARES QUAL DIV DEF FD,QDEF,525910,16816
FLEXSHARES QUAL DIV DYNAMIC,QDYN,525910,16817
FIRST BANCORP P R,FBP,522110,16821
FIRST BANCORP P R,FBP,522110,16821
GLACIER BANCORP INC,GBCI,522110,16832
GLACIER BANCORP INC,GBCI,522110,16832
FIRST MERCHANTS CORP,FRME,522110,16845
FIRST MERCHANTS CORP,FRME,522110,16845
RETROPHIN INC,RTRX,325414,16848
HUNT COS FINANCE TRUST INC,HCFT,525990,16884
HEALTH INSURANCE INNOVATIONS,HIIQ,524210,16886
HEALTH INSURANCE INNOVATIONS,HIIQ,524210,16886
INDEPENDENT BANK CORP/MA,INDB,522110,16889
INDEPENDENT BANK CORP/MA,INDB,522110,16889
INDEPENDENT BANK CORP/MI,IBCP,522110,16890
INDEPENDENT BANK CORP/MI,IBCP,522110,16890
SLATE OFFICE REIT,SLTTF,531120,16909
ACTINIUM PHARMACEUTICALS INC,ATNM,325414,16947
HARLEYSVILLE FINANCIAL CORP,HARL,522120,16957
HARLEYSVILLE FINANCIAL CORP,HARL,522120,16957
HINGHAM INSTN FOR SAVINGS,HIFS,522120,16967
HINGHAM INSTN FOR SAVINGS,HIFS,522120,16967
SPHERE 3D CORP,ANY,511210,16972
MX GOLD CORP,MXLGF,212221,16976
OFG BANCORP,OFG,522110,16981
OFG BANCORP,OFG,522110,16981
PEOPLES BANCORP NC INC,PEBK,522110,16989
PEOPLES BANCORP NC INC,PEBK,522110,16989
LIBERTY MEDIA SIRIUSXM GROUP,LSXMK,515112,17010
EXONE CO,XONE,3332,17012
INTEGRITY APPLICATIONS INC,IGAP,334510,17024
MERCURY GENERAL CORP,MCY,524126,17035
MERCURY GENERAL CORP,MCY,524126,17035
AMEX EXPLORATION INC,AMXEF,212221,17041
NATIONAL SEC GROUP INC,NSEC,524126,17072
NATIONAL WESTERN LIFE GROUP,NWLI,524113,17073
NATIONAL WESTERN LIFE GROUP,NWLI,524113,17073
NAVIGATORS GROUP INC,NAVG,524126,17074
NAVIGATORS GROUP INC,NAVG,524126,17074
OLD NATIONAL BANCORP,ONB,522110,17095
OLD NATIONAL BANCORP,ONB,522110,17095
IMMUNOGEN INC,IMGN,325414,17101
MFS SPECIAL VALUE TRUST,MFV,525990,17102
PEOPLES BANCORP INC/OH,PEBO,522110,17106
PEOPLES BANCORP INC/OH,PEBO,522110,17106
SELECTIVE INS GROUP INC,SIGI,524126,17115
SELECTIVE INS GROUP INC,SIGI,524126,17115
SVB FINANCIAL GROUP,SIVB,522110,17120
SVB FINANCIAL GROUP,SIVB,522110,17120
SANTANDER HOLDINGS USA INC,STD2,522110,17130
SANTANDER HOLDINGS USA INC,STD2,522110,17130
INDEPENDENCE HOLDING CO,IHC,524114,17131
INDEPENDENCE HOLDING CO,IHC,524114,17131
WSFS FINANCIAL CORP,WSFS,522120,17132
WSFS FINANCIAL CORP,WSFS,522120,17132
WASHINGTON FEDERAL INC,WAFD,522110,17145
WASHINGTON FEDERAL INC,WAFD,522110,17145
WEBSTER FINANCIAL CORP,WBS,522110,17150
WEBSTER FINANCIAL CORP,WBS,522110,17150
WESBANCO INC,WSBC,522110,17151
WESBANCO INC,WSBC,522110,17151
GALWAY GOLD INC,GAYGF,212221,17161
ACNB CORP,ACNB,522110,17173
ACNB CORP,ACNB,522110,17173
DELMAR PHARMACEUTICALS INC,DMPI,325414,17175
SECURITY NATL FINL CP  -CL A,SNFCA,522292,17180
SEACOAST BANKING CORP/FL,SBCF,522110,17184
SEACOAST BANKING CORP/FL,SBCF,522110,17184
22ND CENTURY GROUP INC,XXII,325414,17185
CHIBOUGAMAU INDEPENDNT MINES,CMAUF,212,17192
FIRST FINL BANCORP INC/OH,FFBC,522110,17195
FIRST FINL BANCORP INC/OH,FFBC,522110,17195
GENERAL MOTORS FINL CO INC,GM2,522220,17197
GENERAL MOTORS FINL CO INC,GM2,522220,17197
BIOLIFE SOLUTIONS INC,BLFS,325414,17199
BNY MELLON STRG MNPL BD FD,DSM,525990,17200
PIMCO DYNAMIC CREDIT AND MTG,PCI,525990,17210
WI2WI CORP,ISEYF,334290,17217
TALOS ENERGY INC,TALO,211120,17228
FLAG-FORENSIC ACC LONG-SHORT,FLAG,525910,17230
TOMPKINS FINANCIAL CORP,TMP,522110,17240
TOMPKINS FINANCIAL CORP,TMP,522110,17240
TRUSTCO BANK CORP/NY,TRST,522120,17245
TRUSTCO BANK CORP/NY,TRST,522120,17245
UNITED BANKSHARES INC/WV,UBSI,522110,17248
UNITED BANKSHARES INC/WV,UBSI,522110,17248
UNITED FIRE GROUP INC,UFCS,524126,17252
UNITED FIRE GROUP INC,UFCS,524126,17252
AMERISERV FINANCIAL INC/PA,ASRV,522110,17269
