company_name,company_id
ROCHE,460
RONDO-PAK,462
ROYAL PAPER BOX,463
SANI TECH WEST,465
SCHREINER GROUP,468
SENSITECH,469
STERITEC,473
STEVANATO GROUP,474
TEMPTIME,475
UNIVAR,476
CARIBE GASKET & SUPPLY,481
DOE & INGALLS,482
MICRO HYDRAULICS,484
MALLINCKRODT PHARMACEUTICALS,485
INTEGRA COMPANIES,486
KLOCKNER PENTAPLAST,487
ROCKTENN,490
POLYMER SOLUTIONS,491
OLIVER,492
GEORGIA PACIFIC,493
PQ CORP,494
INGREDION,495
COLOR RESOLUTION,496
TWIN RIVERS,497
LANCO,498
CPC,410
WATSON MARLOW,479
BIO RAD,502
GREENFIELD SPECIALTY ALCOHOLS,503
NEXEO SOLUTIONS,505
ENGINEERED MOLDING TECHNOLOGY,509
SHL GROUP,510
UPM RAFLATAC,499
AVERY DENNISON,500
DOW CORNING,437
KYOWA HAKKO,512
ACCUFLOW SYSTEMS,515
AIR LIQUIDE,516
CHATTEM,517
SPECTRUM CHEMICALS,519
AUTHENTIX,522
HALKEY ROBERTS,524
FLINT,525
Z-CFS RETAIL GROUP,127473
MUTCHLER,528
METTLER TOLEDO,530
NEWMAN SANITARY GASKETS,799
INTERNATIONAL PAPER,532
VERSO PAPERS,533
BOLLORE,534
SUPERIOR INKS,535
ACTEGA COATING,536
NIPRO,537
AK STEEL,538
PDC,539
RITRAMA,542
NOVA BIOMEDICAL,546
PIERCAN,548
RAVAGO,549
ESCOTECH,550
NAMSA,551
COLE-PARMER,552
PHARMACEUTICAL SERVICES & INSTITUTE,554
AIR PRODUCTS & CHEMICALS,555
WESTLAKE CHEMICAL,556
INGENIA POLYMERS,558
CHEVRON PHILLIPS CHEMICALS ASIA,560
M. HOLLAND,561
CHIMEI,564
MARBACH,565
LANCO ADHESIVES,566
CABRUN INK,567
PRISCO,568
MANCHESTER INDUSTRIES,569
PACKAGING PERSONIFIED,570
CROWN PACKAGING,571
ACME CORRUGATED BOX,574
SANISURE,575
SCHAEDLER YESCO,576
ROLLPRINT,577
NIAGARA LABEL,578
MANCEL ASSOCIATES,579
COLONY PAPERS,580
RESENEX,581
PENDOTECH,582
HELIX MEDICAL,531
AUTOMATED PACKAGING SYSTEMS,583
UNISOURCE,584
STAPLES INDUSTRIAL,585
REAGECON DIAGNOSTICS,587
AMGEN PARTNER,588
PFANSTIEHL,589
TILLEY CHEMICAL,591
SANOFI,592
USB CORP,593
DASTECH INTERNATIONAL,594
FRIESLANDCAMPINA,595
GENERAL ECONOPAK,596
GRAIN MILLERS,598
CURTISS LABORATORIES,599
NATIONAL BIOCHEMICALS,600
KALTRON,602
REPLIGEN,605
PROPPER MANUFACTURING,606
BATORY FOODS,607
STERIS,308
CORNING,608
SONOCO,610
EQUISTAR CHEMICALS,611
FLINT HILLS RESOURCES,612
NIANTIC SEAL,613
PARKER HANNIFIN,455
STERIGENICS,615
SCANDIA PLASTICS,616
CAPLUGS,617
UFP TECHNOLOGIES,806
SAINT-GOBAIN,735
NORDSON,1026
EASTMAN,625
NAPP TECHNOLOGIES,626
GERRESHEIMER PLASTICOS,627
ARMOR,628
NJM PACKAGING,629
KAPS ALL,630
MEISSNER,631
SEALSTRIP,632
IMCD,633
OPEN DATE,636
OMEGA DESIGN,637
DOMINO PRINTING,638
JINDAL POLY FILMS,639
JUNOPACIFIC,640
BWAY/NAMPAC,644
CAMBRIDGE ISOTOPE LABORATORIES,645
MICHELMAN,646
PACIFIC BIOLABS,649
KIMBERLY-CLARK,651
DSM,652
NIACET,653
SICPA,619
WL GORE,614
RADIOMETER,657
STERITECH,661
ADVANCED INSTRUMENTS,662
VELTEK ASSOCIATES,664
MAUSER,667
MESA LABS,669
MICRONOVA,672
STRAHL & PITSCH,673
EPPENDORF,674
WAKO,678
ISP TECHNOLOGIES,679
WHEATON,684
APTAR,685
BROADLEY JAMES,686
LIGAND PHARMACEUTICALS,690
SKS BOTTLE & PACKAGING,691
ILC DOVER,699
AQUASYN,702
C TECHNOLOGIES,705
BEMIS COMPANY,707
ISLA LAB PRODUCTS,711
KNF CORPORATION,712
EXXON CHEMICALS,717
CHANNEL PRIME ALLIANCE,719
PREGIS,721
POLYONE,723
DUPONT,724
NEWAGE INDUSTRIES,726
ELDON JAMES,725
BIOSPECTRA,731
HENKEL,732
ENTEC POLYMERS,733
TEKNOR,734
QOSINA,720
CARIDIAN BCT,736
BIOMERIEUX,737
ICL INDUSTRIAL PRODUCTS,738
CELANESE,740
ICL,742
GAC CHEMICAL,743
NUTMEG CONTAINER,744
JUNGBUNZLAUER,745
REAGENT CHEM & RESEARCH,747
PMC BIOGENIX,748
CHEMICAL RESOURCES,749
PFIZER CENTRESOURCE,750
AKZO NOBEL,751
ADM,752
NICHIA,753
CLIMET INSTRUMENTS,755
ESSENTRA PLC,756
ECOLAB,759
INDORAMA VENTURES,762
IDEX HEALTH & SCIENCE,768
ANGUS CHEMICAL,769
BRADY,770
GLOBAL GLOVE SAFETY,771
M&M INDUSTRIES,772
NATIONAL MARKER COMPANY,773
REMCO PRODUCTS,775
THOMAS & BETTS,776
DS SMITH PACKAGING,777
GEX CORPORATION,778
BEL ART PRODUCTS,779
PRAIRIE STATE GROUP,780
ALPHAEXT,783
AMERICAN CLEANSTAT,784
ATLAS BOX & CRATING,785
CAPITOL MEDICAL,786
CLARION SAFETY SYSTEMS,787
CLEANROOM FILM & BAGS,788
LUMINER,790
CONWED PLASTIC,791
ICU MEDICAL,792
INDUSTRIAL NETTING,793
HESS CORPORATION,794
MARCOR,795
MEDTECH,796
NEW ENGLAND DIE CUTTING,797
NEW ENGLAND RESIN & PIGMENTS,798
RAND WHITNEY,800
RACO INDUSTRIES,801
RELIANCE ENGINEERING,802
STARBURST PRINTING,804
UNITED FOAM,805
VAUPELL,807
YEUELL NAMEPLATE & LABEL,809
BIOSYNTH,811
EKA CHEMICALS,818
SACHEM,828
SEKAB,831
ENTEGRIS,832
ROHM ELECTRONICS,836
AMERICAN AEROGEL,844
SOFRIGAM,847
SYNTHECON,848
PRUDENTIAL OVERALL SUPPLY,852
ITW,854
AGILENT TECHNOLOGIES,855
UMF CORPORATION,857
GRAPHIC MARKETING GROUP,859
CHEMPOINT,860
AMA PLASTICS,863
MISSION PLASTICS,864
BALDA HK PLASTICS,865
MARSH BELLOFRAM,866
HAPCO GROUP,867
LYDALL FILTRATION SEPARATION,868
STERIPACK,869
DELSTAR TECHNOLOGIES,870
FREUDENBERG,871
PGI,873
CL RABB,875
ATLANTIC CORPORATION,876
SNOMAX,877
